625,1,2,1293426000,
223,1,3,1304395200,
1952,1,3,1305518400,
1445,1,4,1309752000,
113,1,4,1311307200,
57,1,5,1314158400,
586,1,4,1314763200,
18,1,5,1315022400,
15,1,4,1319860800,
1724,1,5,1322802000,
2149,1,5,1326949200,
1295,1,3,1329541200,
35,1,4,1330578000,
17,1,3,1330837200,
1316,1,5,1332216000,
1315,1,5,1334635200,
804,1,10,1337572800,
2966,1,3,1342238400,
256,1,6,1342584000,
20,1,5,1343275200,
519,1,5,1344571200,
554,1,5,1346126400,
474,1,3,1346817600,
3010,1,10,1347854400,
3026,1,10,1350014400,
964,1,5,1350100800,
89,1,7,1351742400,
2227,1,5,1353301200,
2282,1,3,1353819600,
152,1,4,1354078800,
38,1,3,1354165200,
112,1,4,1355634000,
333,1,3,1357275600,
1538,1,3,1358744400,
2249,1,5,1360386000,
529,1,3,1361595600,
493,1,3,1362114000,
958,1,3,1363579200,
1519,1,3,1363924800,
637,1,5,1364961600,
888,1,7,1365652800,
1063,1,2,1365912000,
821,1,5,1368676800,
783,1,3,1368676800,
3134,1,10,1369713600,
3245,1,3,1369972800,
121,1,2,1370318400,
594,1,5,1370836800,
1177,1,4,1371009600,
1860,1,2,1371182400,
1358,1,3,1372737600,
3254,1,4,1373342400,
1570,1,2,1373688000,
37,1,5,1374033600,
126,1,3,1374206400,
11,1,4,1374984000,
10,1,3,1375243200,
3279,1,2,1375675200,
151,1,2,1376366400,
430,1,10,1376539200,
1180,1,3,1378267200,
309,1,5,1378353600,
1877,1,2,1378353600,
462,1,2,1378353600,
2378,1,3,1378612800,
3300,1,2,1380254400,
1583,1,5,1380945600,
330,1,3,1381377600,
87,1,5,1381809600,
617,1,2,1383886800,
896,1,2,1384059600,
649,1,5,1384491600,
95,1,9,1384578000,
3319,1,2,1387256400,
454,1,2,1387256400,
3341,1,5,1388984400,
3329,1,5,1389934800,
1198,1,2,1390453200,
2401,1,3,1390626000,
146,1,2,1390885200,
196,1,2,1391576400,
416,1,2,1391835600,
1580,1,2,1392526800,
1496,1,5,1394168400,
160,1,10,1394683200,
1867,1,2,1396411200,
1881,1,2,1404964800,
7188,1,10,1407470400,
1573,1,2,1408939200,
96,1,2,1410148800,
1901,1,6,1411790400,
2,1,4,1411963200,
58,1,2,1412654400,
161,1,6,1413345600,
118,1,4,1414123200,
377,1,7,1414728000,
3355,1,2,1414990800,
44,1,3,1415854800,
351,1,5,1416373200,
1392,1,2,1418101200,
